Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
cause	noun	/kɔːz/	1. nguyên nhân, lý do 2. mục đích, chính nghĩa	reason, source	effect, result	cause (v): gây ra; causal (adj): nhân quả; causation (n): sự gây ra	Equipment failure was the main cause of the delay.	main/primary cause, root cause, cause of, cause for concern
crop	noun	/krɒp/	1. vụ mùa 2. sản lượng cây trồng	harvest, yield	famine, scarcity	crop (v): thu hoạch; cropping (n): việc thu hoạch; cropper (n): nông dân trồng trọt	The region produced a large rice crop this year.	bumper crop, crop yield, cash crop, harvest a crop
staff	noun/verb	/stæf/	1. đội ngũ nhân viên 2. cung cấp nhân sự	employees, personnel	vacancy, unemployment	staffing (n): việc bố trí nhân sự; staffed (adj): có nhân viên; staffer (n): nhân viên	The new hotel employs over 200 staff.	full-time staff; recruit staff; staff meeting; staff turnover
machine	noun	/məˈʃiːn/	1. máy móc 2. thiết bị cơ khí	device, apparatus	human, manual work	machine (v): gia công bằng máy; machinery (n): máy móc; machinist (n): thợ máy; mechanical (adj): cơ khí	The copy machine is out of order.	operate a machine; install a machine; machine failure; machine operator
local	adj/noun	/ˈloʊ.kəl/	1. thuộc địa phương 2. người dân địa phương	regional, nearby	foreign, distant	locally (adv): địa phương; locality (n): khu vực; localization (n): bản địa hoá; localize (v): định vị/BĐH	We hired a local guide for the factory tour.	local market; local community; buy from locals; local business
delight	noun/verb	/dɪˈlaɪt/	1. sự vui thích 2. làm vui thích	pleasure, joy	disappointment, displeasure	delighted (adj): vui mừng; delightful (adj): thú vị; delightfully (adv): một cách thú vị	The chef’s new menu delighted the customers.	customer delight; be delighted to; much to someone's delight; delight in
join	verb	/dʒɔɪn/	1. tham gia 2. kết nối	participate, connect	leave, separate	joint (adj): chung; joiner (n): thợ mộc; joining (n): sự kết nối; rejoin (v): tham gia lại	She joined the marketing team last month.	join a team; join the company; join forces; join us for
adhere	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
guideline	noun	/ˈɡaɪd.laɪn/	1. nguyên tắc chỉ đạo 2. hướng dẫn	thrule, instruction, direction	deviation, violation, disregard	guide (v/n): hướng dẫn guided (adj): được hướng dẫn guidance (n): sự hướng dẫn	- Please read the safety guidelines before using the machine.	- company/procedural/safety guidelines - issue/publish/update guidelines - follow/comply with guidelines
attendee	noun	/əˌtenˈdiː/	1. người tham dự (cuộc họp, hội nghị)	participant, guest	absentee, nonparticipant	attend (v): tham dự attendance (n): sự tham dự attendant (n): người phục vụ	- Over 300 attendees joined the annual conference.	- conference/meeting/seminar attendee - register as an attendee - first-time attendee
