Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
creation	noun	/kriˈeɪ.ʃən/	1. sự sáng tạo 2. vật được tạo ra 3. hành động tạo ra điều gì đó mới	invention, formation	destruction	create (v): tạo ra creative (adj): sáng tạo creator (n): người sáng tạo creativity (n): tính sáng tạo	Her latest creation is a sculpture of a lion.	the creation of jobs, artistic creation
appointment	noun	/əˈpɔɪnt.mənt/	1. Cuộc hẹn (gặp ai đó theo lịch hẹn) 2. Sự bổ nhiệm (vào vị trí công việc) 3. Vị trí được bổ nhiệm	meeting, engagement (nghĩa 1) nomination, assignment (nghĩa 2)	cancellation (nghĩa 1) dismissal, removal (nghĩa 2)	appoint (v): bổ nhiệm appointed (adj): được bổ nhiệm reappointment (n): sự tái bổ nhiệm disappointment (n): sự thất vọng 	- I have a doctor’s appointment at 3 p.m. - The appointment of a new CEO will be announced tomorrow. - She accepted the appointment as director.	- make/schedule/set an appointment - cancel/miss/postpone an appointment - appointment with sb - appointment as (job title)
career	noun	/kəˈrɪr/	1. sự nghiệp 2. nghề nghiệp 3. quá trình làm việc lâu dài	profession, occupation	unemployment, joblessness	career (n): sự nghiệp; career-related (adj): liên quan đến sự nghiệp; careerist (n): người chạy theo sự nghiệp	She wants a career in marketing.	build a career, pursue a career, career path, career development
experience	noun	/ɪkˈspɪə.ri.əns/	1. kinh nghiệm 2. trải nghiệm 3. sự từng trải	knowledge, skill, exposure	inexperience, ignorance	experience (v): trải qua experienced (adj): có kinh nghiệm inexperienced (adj): thiếu kinh nghiệm experiential (adj): mang tính trải nghiệm	- She has five years of marketing experience.	- work/practical/relevant experience - gain/build/have experience - customer/user experience
career experience	noun	/kəˈrɪr ɪkˈspɪə.ri.əns/	kinh nghiệm nghề nghiệp, kinh nghiệm làm việc	work experience, professional experience	inexperience, novice status	career (n): sự nghiệp; experience (n): kinh nghiệm; experienced (adj): có kinh nghiệm	Please list your career experience on the form.	relevant career experience, prior career experience, extensive career experience, career experience in
passenger	noun	/ˈpæs.ən.dʒər/	hành khách (trên xe, tàu, máy bay)	traveler, rider	driver, crew	passenger (n): hành khách; passengerless (adj): không có hành khách; passengership (n): tàu chở khách	Each passenger must show a boarding pass.	passenger seat, passenger list, passenger train, passenger safety
domestic	adjective	/dəˈmes.tɪk/	1. trong nước, nội địa 2. thuộc gia đình 3. đã được thuần hóa	internal, home, local	foreign, international	domestic (adj): trong nước; domestically (adv): trong nước; domesticate (v): thuần hóa; domestication (n): sự thuần hóa	Domestic flights depart from Terminal 1.	domestic flight, domestic market, domestic demand, domestic policy
connect	verb	/kəˈnekt/	1. kết nối (thiết bị, hệ thống) 2. liên hệ (con người, ý tưởng)	link, join, attach	disconnect, separate, detach	connection (n): sự kết nối connected (adj): được kết nối connectivity (n): khả năng kết nối connector (n): đầu nối	Please connect the projector to the laptop.	connect to/with, connect A to B, connect online, connect directly
fresh	adj	/freʃ/	1. tươi (thực phẩm) 2. mới, sảng khoái	new, crisp, recent	stale, old, rotten	freshness (n): sự tươi mới freshly (adv): mới mẻ refresh (v): làm tươi mới refreshment (n): đồ giải khát	The restaurant serves fresh seafood every day.	fresh produce, fresh air, fresh idea, keep fresh
apple - cider	noun	/ˈæp.əl ˈsaɪ.dər/	1. rượu táo 2. nước ép táo lên men	apple wine, cider drink	soft drink, water	cider (n): rượu táo cidery (n): nhà máy rượu táo apple-cider (adj): làm từ rượu táo	Many tourists enjoy local apple cider at the farm.	hot apple cider, sweet apple cider, glass of apple cider, produce/sell apple cider
