Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
store	verb	/stɔːr/	1. lưu trữ; 2. cất giữ	keep, stock	discard, remove	storage (n): lưu trữ; storehouse (n): kho; in-store (adj): tại cửa hàng; stored (adj): được lưu trữ	Please store the files in the cabinet.	store data; store information; store goods
mark	verb	/mɑːrk/	1. đánh dấu; 2. chấm điểm; 3. kỷ niệm	label, indicate	erase, ignore	marker (n): bút đánh dấu; marking (n): việc đánh dấu; marked (adj): rõ rệt; hallmark (n): dấu xác nhận	He used a pencil to mark the damaged boxes.	mark the date; mark a box; mark an item
refrain	verb	/rɪˈfreɪn/	1. kiềm chế, nhịn làm điều gì (refrain from)	abstain, avoid	indulge, partake	refrain (n): đoạn điệp khúc refraining (n): sự kiềm chế	- Please refrain from using mobile phones in the meeting. - Passengers must refrain from placing bags in the aisle.	refrain from doing sth - kindly refrain - refrain immediately
select	verb	/sɪˈlekt/	1. chọn, lựa chọn	choose, pick	reject, discard	selection (n): sự lựa chọn selective (adj): có chọn lọc selector (n): bộ chọn	- Please select your preferred language on the screen. - The committee will select three finalists.	select candidate - select option - carefully select - select item
bake	verb	/beɪk/	1. nướng (bánh, thức ăn) trong lò	roast, cook	boil, steam	baker (n): thợ làm bánh bakery (n): tiệm bánh baked (adj): được nướng baking (n): việc nướng	- We bake fresh bread every morning. - The chef will bake a cake for the event.	bake bread - bake a cake - freshly baked - bake in the oven
good	adjective	/ɡʊd/	1. tốt, đạt chất lượng 2. có lợi, hữu ích	excellent, fine	bad, poor	goodness (n): lòng tốt better (adj): tốt hơn best (adj): tốt nhất goods (n): hàng hoá	- The hotel offers good service. - Sales figures show a good performance this quarter.	good quality - good condition - make a good impression - good deal
conference	noun	/ˈkɒn.fər.əns/	1. hội nghị 2. cuộc họp chính thức	convention, meeting	informal chat, private talk	confer (v): bàn bạc conferee (n): người dự họp conferencing (n): hội nghị trực tuyến	- The annual sales conference will be held in Tokyo. - Please register for the conference by Friday.	attend a conference - hold a conference - international conference - conference room
in a row	adverb phrase	/ɪn ə roʊ/	1. liên tiếp 2. kế tiếp nhau không ngắt quãng	consecutively, successively, back-to-back	intermittently, sporadically	row (n): hàng; row (v): chèo	The team won three games in a row.	days in a row, meetings in a row, weeks in a row, wins in a row
vanilla	noun/adj	/vəˈnɪl.ə/	1. (n) hương vani 2. (adj) cơ bản, không thay đổi	plain, basic, standard	flavored, exotic, fancy	vanillin (n); vanilla bean (n)	We ordered vanilla ice cream for dessert.	vanilla ice cream, vanilla flavor, vanilla extract, plain vanilla
deliver	verb	/dɪˈlɪv.ər/	1. giao hàng 2. trình bày (bài phát biểu) 3. thực hiện (lời hứa)	ship, transport, present, fulfill	collect, withhold, fail	delivery (n); deliverable (n/adj); deliverer (n); delivered (adj)	The courier will deliver the documents before noon.	deliver a package, deliver a speech, deliver results, deliver on a promise
custom - baked	adjective	/ˌkʌstəm ˈbeɪkt/	được nướng theo yêu cầu, làm riêng cho khách	made-to-order, bespoke	pre-made, mass-produced	custom (n); customize (v); customized (adj); bakery (n); baker (n)	They ordered custom-baked cupcakes for the office party.	custom-baked cake, custom-baked cookies, custom-baked goods, order a custom-baked item
