Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
as well	adverbial phrase	/əz wel/	1. cũng, thêm vào	also, too	only, solely	well (adv/adj): tốt, giỏi	Please bring your ID as well.	as well as; me/us/him as well; include as well; can … as well
sincerely	adverb	/sɪnˈsɪr.li/	1. một cách chân thành 2. trang trọng dùng kết thư	genuinely, honestly	insincerely, superficially	sincere (adj): chân thành sincerity (n): sự chân thành insincere (adj): không chân thành	We sincerely apologize for the delay.	yours sincerely; sincerely hope; sincerely apologize; sincerely thank
amaze	verb	/əˈmeɪz/	1. làm kinh ngạc 2. gây ấn tượng mạnh	astonish, stun	bore, disappoint	amazing (adj): đáng kinh ngạc amazed (adj): kinh ngạc amazement (n): sự kinh ngạc	The sales results amazed the board.	amaze customers, be amazed at/by, absolutely amazing
proposal	noun	/prəˈpəʊ.zəl/	1. đề xuất 2. bản đề nghị kinh doanh	suggestion, offer	rejection, refusal	propose (v): đề xuất proposed (adj): được đề xuất proposable (adj): có thể đề xuất	The manager approved the budget proposal.	submit a proposal, draft a proposal, accept a proposal, business proposal
innovation	noun	/ˌɪn.əˈveɪ.ʃən/	1. sự đổi mới 2. ý tưởng sáng tạo	modernization, novelty	tradition, stagnation	innovate (v): đổi mới innovative (adj): có tính đổi mới innovator (n): người đổi mới	Continuous innovation keeps the company competitive.	technological innovation, drive innovation, product innovation, encourage innovation
criticism	noun	/ˈkrɪt.ɪ.sɪ.zəm/	1. lời phê bình 2. sự chỉ trích	review, disapproval	praise, approval	critic (n): nhà phê bình critical (adj): phê phán criticize (v): chỉ trích critically (adv): một cách phê bình	The report received constructive criticism from the committee.	constructive criticism, face criticism, respond to criticism, harsh criticism
attention	noun	/əˈten.ʃən/	1. sự chú ý 2. sự quan tâm	notice, focus	neglect, disregard	attentive (adj): chú ý attend (v): tham dự attentively (adv): chăm chú	Please pay attention to the safety instructions.	pay attention to, attract attention, draw attention, attention span
surprise	noun/verb	/səˈpraɪz/	1. (n) sự ngạc nhiên 2. (v) làm ngạc nhiên 3. (n) điều bất ngờ	astonishment, shock, amaze	expectation, predictability	surprised (adj): ngạc nhiên; surprising (adj): gây ngạc nhiên; unsurprising (adj): không bất ngờ; surprisingly (adv): thật ngạc nhiên	The low price came as a surprise to customers.	a pleasant surprise, come as a surprise, to one's surprise, surprise visit
well	adverb/adjective	/wel/	1. (adv) tốt, giỏi 2. (adj) khỏe mạnh 3. (adj) phù hợp, đúng cách	fine, healthy, good	ill, badly, sick	unwell (adj): không khỏe; wellness (n): sức khỏe; well-being (n): phúc lợi	She did well on the sales test.	do well, feel well, well done, well prepared
flexible	adjective	/ˈflek.sə.bəl/	1. linh hoạt 2. dễ thay đổi, điều chỉnh	adaptable, adjustable, versatile	rigid, inflexible, fixed	flexibility (n): tính linh hoạt; flexibly (adv): một cách linh hoạt; inflexible (adj): cứng nhắc	The company offers flexible working hours.	flexible hours, flexible schedule, flexible policy, highly flexible
