Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
popular	adj	/ˈpɒp.jə.lər/	1. phổ biến 2. được ưa chuộng	well-liked, favored	unpopular, obscure	popularity (n): sự phổ biến; popularize (v): làm cho phổ biến; popularization (n): sự đại chúng hoá	The new smartphone is very popular among young workers.	popular choice, popular product, become popular, highly popular
almost	adv	/ˈɔːl.moʊst/	1. gần như 2. hầu như	nearly, practically	completely, exactly	—	The report is almost finished.	almost all, almost always, almost impossible, almost every
finish	verb	/ˈfɪn.ɪʃ/	1. hoàn thành 2. kết thúc	complete, conclude	start, begin	finished (adj): đã hoàn thành; unfinished (adj): chưa xong; finisher (n): người hoàn thành; finishing (n): công đoạn hoàn thiện	- We will finish the report by 5 p.m. - The meeting finished early.	- finish a project - finish the report - finish on time - finish up
measure	verb/noun	/ˈmeʒ.ər/	1. (v) đo lường 2. (v) đánh giá 3. (n) biện pháp/tiêu chí	assess, gauge	guess, ignore	measurement (n): sự đo lường; measurable (adj): có thể đo được; immeasurable (adj): không thể đo; measuring (adj): để đo	- Please measure the room before buying furniture. - Sales growth is one measure of success.	- measure performance - measure progress - take accurate measures - security measures
afraid	adj	/əˈfreɪd/	1. sợ 2. e rằng/lo rằng	scared, frightened	confident, unafraid	fear (n/v): sợ hãi; fearful (adj): đáng sợ; fearlessly (adv): gan dạ	- I’m afraid the report is not ready yet. - She is afraid of flying.	- be afraid of sth - afraid to do sth - I’m afraid that ...
problem	noun	/ˈprɒb.ləm/	1. vấn đề 2. điều khó khăn	issue, difficulty	solution, answer	problematic (adj): nan giải; problem-free (adj): không có vấn đề; problem-solving (n): giải quyết vấn đề	- The software problem was fixed this morning. - We have a staffing problem in the warehouse.	- solve a problem - face a problem - problem with sth - technical problem
coordinate	verb	/koʊˈɔːr.dən.eɪt/	1. điều phối/sắp xếp 2. phối hợp	organize, arrange	confuse, disorder	coordination (n): sự phối hợp; coordinator (n): điều phối viên; coordinated (adj): có tổ chức; uncoordinated (adj): thiếu phối hợp	- She will coordinate the event with the catering team. - Departments must coordinate their schedules.	- coordinate with sb - coordinate activities - coordinate efforts - coordinate logistics
bring	verb	/brɪŋ/	1. mang, đem 2. dẫn đến 3. đưa ra (trong cuộc họp/tòa án)	carry, deliver	take away, remove	bringing (n): sự mang tới brought (v-ed): đã mang bringer (n): người mang	- Please bring your ID to the reception desk. - The new policy will bring more jobs to the city.	bring about, bring up, bring in revenue, bring with you
sure	adjective	/ʃʊr/	1. chắc chắn 2. đảm bảo	certain, confident	unsure, doubtful	surely (adv): chắc chắn assurance (n): sự đảm bảo ensure (v): đảm bảo	- I am sure the meeting will finish on time. - Make sure all lights are off before you leave.	be sure to, make sure, feel sure, quite sure
mean	verb	/miːn/	1. có nghĩa là 2. dự định 3. gây ra	signify, intend	ignore, overlook	meaning (n): ý nghĩa meaningful (adj): có ý nghĩa meaningless (adj): vô nghĩa mean (adj): keo kiệt	- What does this symbol mean? - I didn’t mean to interrupt you.	mean to do, mean that, what it means, exactly mean
correct	adjective	/kəˈrekt/	1. đúng, chính xác 2. phù hợp, lịch sự	accurate, right	incorrect, wrong, inaccurate	correct (v): sửa correction (n): sự sửa correctness (n): tính đúng corrective (adj): mang tính sửa chữa	- Your calculation is correct. - Please correct the figures before printing.	correct answer, correct information, correct procedure, correct mistake
excellent	adjective	/ˈek.səl.ənt/	1. xuất sắc, ưu tú	outstanding, superb	poor, inferior, mediocre	excellence (n): sự xuất sắc excellently (adv): một cách xuất sắc	- The hotel offers excellent service. - He did an excellent job on the report.	excellent service, excellent performance, excellent quality, excellent idea
yeild	verb / noun	/jiːld/	1. sản xuất, tạo ra (v) 2. lợi nhuận, sản lượng (n) 3. nhường nhịn, nhường đường (v)	produce, generate, return	resist, retain, loss	yielding (adj): dễ uốn; yielder (n): người mang lại lợi nhuận	Our new machines yield higher output with less energy.	yield results, yield profits, crop yield, high yield
substantial	adj	/səbˈstæn.ʃəl/	1. đáng kể 2. lớn, vững chắc	considerable, significant	minor, insignificant	substantially (adv): đáng kể; substance (n): vật chất; substantive (adj): trọng yếu	The report shows a substantial reduction in costs.	substantial amount, substantial growth, substantial evidence, substantial cost
grow	verb	/ɡroʊ/	1. tăng trưởng, phát triển 2. trồng (cây) 3. trở nên	expand, increase	shrink, decline	growth (n): sự tăng trưởng; growing (adj): đang phát triển; grown (adj): trưởng thành	Exports to Asia continue to grow steadily.	grow rapidly, grow steadily, grow crops, grow market share
surplus	noun / adj	/ˈsɜːr.pləs/	1. số dư, thặng dư (n) 2. dư thừa (adj)	excess, extra	deficit, shortage	surplusage (n): phần dư thừa	The budget surplus will be reinvested in equipment.	budget surplus, trade surplus, surplus inventory, surplus goods
produce	verb / noun	/prəˈduːs/	1. sản xuất 2. trình ra (tài liệu) 3. nông sản (n)	manufacture, create	consume, destroy	product (n); production (n); producer (n); productive (adj); productivity (n)	The factory can produce parts on demand.	produce goods, produce documents, mass produce, agricultural produce
community	noun	/kəˈmjuː.nə.ti/	1. cộng đồng (nhóm người sống chung hoặc có chung lợi ích) 2. khu dân cư	society, public	individual, isolation	communal (adj): thuộc cộng đồng community-based (adj): dựa vào cộng đồng community member (n): thành viên cộng đồng	Our company donates computers to the local community.	local community, community service, community center, community support
organise	verb	/ˈɔːr.ɡə.naɪz/	1. sắp xếp, tổ chức 2. điều phối người hoặc sự kiện	arrange, coordinate	disorganize, disrupt	organisation (n): sự tổ chức organizer (n): người tổ chức organized (adj): có tổ chức organizational (adj): thuộc tổ chức	They will organise a training session for new staff.	organise a meeting, organise an event, organise files, organise staff
drop - off	noun	/ˈdrɒp ˌɒf/	1. điểm trả khách/hàng 2. sự sụt giảm	delivery point, decrease	pickup, increase	drop off (v): trả ai/cái gì drop-off (adj): dùng để trả hàng	The taxi driver stopped at the hotel drop-off zone.	drop-off point, drop-off service, luggage drop-off, sharp drop-off
location	noun	/loʊˈkeɪ.ʃən/	1. vị trí, địa điểm 2. quá trình xác định vị trí	site, place	displacement, misplacement	locate (v): định vị located (adj): nằm ở relocation (n): sự di chuyển địa điểm locator (n): thiết bị định vị	The conference will be held at a central location.	convenient location, remote location, office location, location search
contact	noun	/ˈkɒn.tækt/	1. sự liên lạc 2. người liên hệ 3. sự tiếp xúc	communication, connection	disconnection, separation	contact (v): liên lạc contactable (adj): có thể liên lạc contactless (adj): không tiếp xúc	Please send your order to the contact listed below.	contact information, contact person, make contact, keep in contact
distribute	verb	/dɪˈstrɪb.juːt/	1. phân phối hàng hoá 2. phân phát tài liệu 3. phân bố, rải	deliver, allocate	collect, withhold	distribution (n): sự phân phối; distributor (n): nhà phân phối; redistribute (v): phân phối lại; distributive (adj): phân bổ	The warehouse distributes goods to stores every night.	distribute goods, distribute brochures, distribute to customers, widely distribute
independent	adjective	/ˌɪn.dɪˈpen.dənt/	1. độc lập, tự chủ 2. không lệ thuộc tài chính 3. không phụ thuộc bên ngoài	autonomous, self-reliant	dependent, subordinate	independence (n): sự độc lập; independently (adv): một cách độc lập	She prefers working as an independent consultant.	independent contractor, independent company, independent decision, financially independent
dependent	adjective	/dɪˈpen.dənt/	1. phụ thuộc vào 2. (n) người phụ thuộc	reliant, subordinate	independent, self-sufficient	depend (v): phụ thuộc; dependence (n): sự phụ thuộc; dependency (n): sự lệ thuộc; dependable (adj): đáng tin cậy	Small hotels are dependent on tourist seasons.	be dependent on, dependent child, economically dependent, heavily dependent
drive	verb	/draɪv/	1. lái xe 2. thúc đẩy, làm tăng 3. điều khiển máy	motivate, operate, propel	halt, deter	driver (n): tài xế; driving (n/adj): việc lái xe; driven (adj): có động lực	He drives to the office and drives sales during meetings.	drive a car, drive to work, drive growth, drive sales
kind	noun	/kaɪnd/	1. loại, hạng 2. nhóm có đặc điểm chung	type, sort	individual, exception	kindly (adj/adv): tử tế; kindness (n): lòng tốt	Please choose the kind of ticket you need.	this kind of, all kinds of, the same kind, any kind of
volunteer	noun/verb	/ˌvɒl.ənˈtɪər/	1. người tình nguyện 2. tự nguyện làm	helper, unpaid worker	paid worker, conscript	voluntary (adj): tự nguyện voluntarily (adv): một cách tự nguyện volunteerism (n): chủ nghĩa tình nguyện	Many employees volunteer for the annual food drive.	volunteer work, volunteer for, volunteer to do, community volunteer
transport	noun/verb	/ˈtræn.spɔːrt/	1. sự vận chuyển 2. vận chuyển hàng/người	convey, ship	store, keep	transportation (n): sự vận chuyển transporter (n): phương tiện vận chuyển transportable (adj): có thể vận chuyển	We will transport the goods by air to save time.	public transport, transport costs, transport goods, transport service
quick	adj	/kwɪk/	nhanh chóng, tức thời	rapid, fast	slow	quickly (adv): nhanh chóng quickness (n): sự nhanh chóng quicken (v): tăng tốc	The manager gave a quick update before the meeting.	quick response, quick decision, quick look, quick test
donate	verb	/ˈdoʊ.neɪt/	quyên góp, tặng	contribute, give	take, receive	donation (n): sự quyên góp donor (n): người quyên góp donated (adj): được tặng	The company will donate office furniture to the school.	donate money, donate goods, donate blood, donate to charity
