Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
at least	adverbial phrase	/æt liːst/	1. ít nhất 2. chí ít	minimum, no less than	at most, no more than	least (adj/adv): ít nhất; lesser (adj): nhỏ hơn	- You should arrive at least 30 minutes early.	- at least + number - at least once - at least two years
opt	verb	/ɒpt/	1. chọn 2. quyết định làm gì	choose, select	reject, decline	option (n): sự lựa chọn; optional (adj): tùy chọn; opt-out (n): sự rút lui	- Many passengers opt to take the express train.	- opt for sth - opt to do sth - opt out (of) sth
specific	adjective	/spəˈsɪfɪk/	1. cụ thể, rõ ràng 2. riêng biệt, đặc thù	particular, detailed	general, vague	specificity (n): tính cụ thể specifically (adv): một cách cụ thể specify (v): chỉ rõ specification (n): thông số kỹ thuật	Please provide the specific date of delivery.	specific requirements, specific details, specific instructions, specific time
a full range	noun phrase	/ə fʊl reɪndʒ/	toàn bộ phạm vi, đầy đủ các loại	complete selection, wide array	limited range, narrow selection	range (n/v): phạm vi ranging (adj): đa dạng wide-ranging (adj): rộng khắp	The store offers a full range of office supplies.	a full range of products, a full range of services, offer a full range, provide a full range
photography service	noun phrase	/fəˈtɒɡrəfi ˈsɜːvɪs/	dịch vụ chụp ảnh	photo service, imaging service	self-photography, no service	photograph (n/v): chụp ảnh photographer (n): nhiếp ảnh gia photographic (adj): thuộc nhiếp ảnh photography (n): nhiếp ảnh	We hired a photography service for the product launch.	professional photography service, wedding photography service, hire a photography service, provide photography services
professional	adjective	/prəˈfeʃənl/	1. chuyên nghiệp 2. thuộc nghề nghiệp	expert, skilled	amateur, unprofessional	profession (n): nghề nghiệp professionalism (n): tính chuyên nghiệp professionally (adv): một cách chuyên nghiệp professionalize (v): chuyên nghiệp hoá	The company needs a professional marketing plan.	professional manner, professional experience, professional advice, highly professional
take pride	verb phrase	/teɪk praɪd/	tự hào về	be proud of, pride oneself on	be ashamed of, feel embarrassed about	pride (n): niềm tự hào proud (adj): tự hào proudly (adv): một cách tự hào prideful (adj): kiêu hãnh	We take pride in delivering orders on time.	take pride in, take great pride, take personal pride, employees take pride
compose	verb	/kəmˈpoʊz/	1. soạn, sáng tác (thư, nhạc, tài liệu) 2. bao gồm, cấu thành 3. trấn tĩnh bản thân	write, create, form	destroy, discompose	composition (n): bài sáng tác; composer (n): nhà soạn nhạc; composed (adj): điềm tĩnh; compositional (adj): thuộc về cấu tạo	She will compose the monthly sales report tomorrow.	compose an email, compose a letter, compose yourself, be composed of
interior	noun/adj	/ɪnˈtɪr.i.ər/	1. phần bên trong; nội thất 2. ở phía trong (adj)	inside, inner	exterior, outside	internal (adj): nội bộ; internally (adv): bên trong; interiorly (adv): ở phía trong	The hotel’s interior is modern and bright.	interior design, interior walls, interior lighting, interior space
exterior	noun/adj	/ɪkˈstɪr.i.ər/	1. bề ngoài; mặt ngoài 2. ở phía ngoài (adj)	outside, outer	interior, inside	external (adj): bên ngoài; externally (adv): bên ngoài; exteriorly (adv): phía ngoài	Workers are painting the building’s exterior today.	exterior wall, exterior paint, exterior surface, exterior door
