Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
several	determiner/pronoun	/ˈsev.ər.əl/	1. vài, một số	some, a few	none, numerous	severally (adv): riêng rẽ severalty (n): quyền sở hữu riêng	Several employees arrived early.	several times, several years, several options, several reasons
reown	noun	/rɪˈnaʊn/	1. danh tiếng, tiếng tăm	fame, reputation	obscurity, anonymity	renowned (adj): nổi tiếng renownless (adj): không tên tuổi	The hotel has international renown for its service.	gain renown, international renown, of great renown, world renown
orchestras	noun	/ˈɔːr.kə.strəz/	1. dàn nhạc giao hưởng 2. nhóm nhạc nhiều nhạc cụ	symphony groups, bands	soloist, individual performer	orchestra (n): dàn nhạc orchestral (adj): thuộc dàn nhạc orchestrate (v): dàn dựng orchestration (n): sự phối khí/sắp đặt	Several orchestras will play at the cultural festival.	symphony orchestra, philharmonic orchestra, chamber orchestra, lead an orchestra
excel	verb	/ɪkˈsel/	1. xuất sắc 2. trội hơn người khác	surpass, shine	fail, underperform	excellence (n): sự xuất sắc excellent (adj): xuất sắc excellently (adv): một cách xuất sắc	Our sales team continues to excel in customer service.	excel at, excel in, continue to excel, excel yourself
role	noun	/roʊl/	1. vai trò, chức vụ 2. phần diễn (trong phim, kịch)	position, function, duty	irrelevance, insignificance	role-play (v): đóng vai role-playing (n): nhập vai	His role is to manage the budget for the project.	key role, play a role, role in, managerial role
organize	verb	/ˈɔːr.ɡə.naɪz/	1. tổ chức, sắp xếp 2. lên kế hoạch và điều phối	arrange, coordinate, set up	disrupt, disorder	organization (n): tổ chức organizer (n): người tổ chức organized (adj): có trật tự reorganize (v): tái tổ chức organizational (adj): thuộc tổ chức	They will organize a staff meeting tomorrow morning.	organize a meeting, organize an event, organize files, organize a trip
northbound	adj/adv	/ˈnɔːrθ.baʊnd/	1. di chuyển về phía bắc	heading north, to the north	southbound	north (n/adj/adv): phía bắc northern (adj): miền bắc northward(s) (adv): về hướng bắc	The northbound train departs at 6 a.m.	northbound traffic, northbound lane, northbound train, northbound route
lane	noun	/leɪn/	1. làn đường (trong giao thông) 2. đường nhỏ, ngõ hẻm	track, path	highway, main road	lane (n): làn đường two-lane (adj): hai làn multilane (adj): nhiều làn	The right lane is closed for repairs. - Use the left lane to turn.	fast lane, bicycle lane, right lane, shipping lane
temporarily	adverb	/ˈtem.pə.rer.ə.li/	1. tạm thời, trong thời gian ngắn	provisionally, briefly	permanently	temporary (adj): tạm thời temporariness (n): tính tạm thời	Our office is temporarily closed for maintenance. - He is working temporarily in the Paris branch.	temporarily close, be temporarily unavailable, suspend temporarily, work temporarily
competitive	adj	/kəmˈpet.ə.tɪv/	1. có tính cạnh tranh 2. (giá) có khả năng cạnh tranh	aggressive, rivalrous	uncompetitive, cooperative	compete (v): cạnh tranh competition (n): sự cạnh tranh competitor (n): đối thủ competitiveness (n): tính cạnh tranh competitively (adv): một cách cạnh tranh	We offer competitive rates for bulk orders. - The software market is highly competitive.	competitive price, highly competitive, competitive advantage, remain competitive
recently	adverb	/ˈriː.sənt.li/	1. gần đây	lately, just	formerly, previously	recent (adj): gần đây recency (n): sự mới đây	The company recently launched a new product. - She was recently promoted to manager.	until recently, have recently + V3, more recently, recently announced
collectively	adverb	/kəˈlek.tɪv.li/	1. chung, tập thể, tổng cộng	jointly, together	individually, separately	collect (v): thu thập collective (adj/n): tập thể collection (n): bộ sưu tập collectivism (n): chủ nghĩa tập thể	Shareholders collectively own 60% of the firm. - The team collectively decided to cancel the trip.	act collectively, decide collectively, collectively known as, collectively responsible
