Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
flow	noun/verb	/fləʊ/	1. (n) dòng chảy, luồng 2. (v) chảy, lưu thông 3. (n) sự liên tục	stream, run	stop, halt	flowing (adj): đang chảy; overflow (v/n): tràn; inflow (n): dòng vào; outflow (n): dòng ra	Cash flow improved last quarter. - Traffic flows smoothly after 9 a.m.	cash flow, traffic flow, flow of information, maintain flow
nearby	adj/adv	/ˌnɪəˈbaɪ/	1. ở gần, lân cận (adj) 2. ở gần (adv)	close, adjacent	distant, remote	near (prep/adj/adv): gần; nearness (n): sự gần gũi	There is a bank nearby. - The nearby hotel offers free Wi-Fi.	nearby restaurant, nearby facility, live nearby, located nearby
rooftop	noun	/ˈruːf.tɒp/	1. mái nhà 2. khu vực trên mái dùng cho hoạt động	roof, housetop	floor, ground	roof (n/v): mái; lợp mái rooftop (adj): trên mái roofing (n): vật liệu lợp mái	- The rooftop cafe offers a city view. - Inspectors checked the rooftop for leaks.	rooftop terrace; rooftop garden; on the rooftop; inspect the rooftop
landscape	noun	/ˈlænd.skeɪp/	1. phong cảnh 2. việc thiết kế cảnh quan 3. trang in ngang	scenery, view	cityscape, interior	landscape (v): làm cảnh quan landscaper (n): người thiết kế cảnh quan landscaping (n): việc thiết kế cảnh quan	- The hotel is surrounded by a beautiful landscape. - The company hired a firm to landscape the courtyard.	natural landscape; landscape design; landscape view; landscape photographer
native	adj	/ˈneɪ.tɪv/	1. bản địa 2. vốn có, tự nhiên	indigenous, local	foreign, nonnative	native (n): người bản địa nativeness (n): tính bản địa non-native (adj/n): không bản địa	- She is a native speaker of French. - The guide showed us plants native to the region.	native language; native speaker; native to; native culture
beneficial	adj	/ˌben.ɪˈfɪʃ.əl/	1. có lợi 2. mang lại lợi nhuận	advantageous, helpful	harmful, detrimental	benefit (n/v): lợi ích beneficiary (n): người thụ hưởng beneficially (adv): một cách có lợi	- Regular exercise is beneficial to health. - The merger was beneficial for both companies.	be beneficial to; beneficial effect; mutually beneficial; prove beneficial
local	adj/noun	/ˈloʊ.kəl/	1. thuộc địa phương 2. người dân địa phương	regional, nearby	foreign, distant	locally (adv): địa phương; locality (n): khu vực; localization (n): bản địa hoá; localize (v): định vị/BĐH	We hired a local guide for the factory tour.	local market; local community; buy from locals; local business
enviroment	noun	/ɪnˈvaɪ.rən.mənt/	1. môi trường tự nhiên 2. môi trường (làm việc, kinh doanh)	surroundings, setting	pollution, degradation	environmental (adj): thuộc về môi trường; environmentally (adv): về mặt môi trường; environmentalist (n): nhà bảo vệ môi trường; environmentalism (n): chủ nghĩa bảo vệ môi trường	The company strives to protect the environment.	protect the environment, environmental regulations, working environment, business environment
drainage	noun	/ˈdreɪ.nɪdʒ/	1. hệ thống thoát nước 2. sự tiêu nước	discharge, runoff	flooding, accumulation	drain (v): thoát nước; drain (n): cống; drained (adj): kiệt quệ; draining (adj): làm kiệt sức	Proper drainage prevents water damage.	drainage system, surface drainage, drainage pipe, poor drainage
protect	verb	/prəˈtekt/	1. bảo vệ 2. che chở	safeguard, defend	endanger, harm	protection (n): sự bảo vệ; protective (adj): bảo vệ; protector (n): người bảo vệ; protected (adj): được bảo vệ	The warranty protects consumers against defects.	protect against, protect from, protect the environment, protect data
improve	verb	/ɪmˈpruːv/	1. cải thiện 2. nâng cao	enhance, upgrade	worsen, deteriorate	improvement (n): sự cải thiện; improved (adj): được cải thiện; improving (adj): đang cải thiện	Improving customer service will increase sales.	improve quality, improve performance, improve efficiency, continue to improve
river	noun	/ˈrɪv.ər/	1. con sông	stream, waterway	desert, dry land	riverbank (n): bờ sông; riverbed (n): lòng sông; riverside (n/adj): ven sông; upriver/downriver (adv/adj): ngược/dọc dòng	The hotel offers a view of the river.	cross a river, river cruise, along the river, river transport
