Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
set on	phrasal verb	/set ɒn/	1. quyết tâm làm điều gì đó (be set on) 2. đặt lên	bent on, intent on	undecided, hesitant	set (v/n): đặt, bộ setting (n): bối cảnh setup (n): sự thiết lập reset (v): thiết lập lại	- The team is set on finishing the project early. - She set the tray on the table.	be set on doing, set on the table, set on achieving, set on goals
expansive	adj	/ɪkˈspæn.sɪv/	1. rộng lớn, bao quát 2. có xu hướng mở rộng	extensive, broad, wide	limited, narrow	expansion (n): sự mở rộng expand (v): mở rộng expanded (adj): được mở rộng expansively (adv): một cách cởi mở	- The company has an expansive distribution network. - We enjoyed the expansive view from the hotel.	expansive view, expansive growth, expansive network, expansive policy
sweep	verb/noun	/swiːp/	1. (v) quét sạch 2. (v) lướt qua 3. (n) hành động quét 4. (n) phạm vi, tầm rộng	brush, clear, clean	litter, scatter	sweeping (adj): bao quát; sweeper (n): người quét; sweep (n): sự quét	The janitor will sweep the hallway every morning.	sweep the floor; sweep up debris; street sweeper; sweeping change
adjacent	adjective	/əˈdʒeɪ.sənt/	1. gần kề 2. kế tiếp	neighboring, nearby, adjoining	distant, remote, far	adjacency (n): sự liền kề; adjacently (adv): một cách liền kề	The conference room is adjacent to the lobby.	adjacent to; adjacent room; adjacent building; adjacent property
botanical	adjective	/bəˈtæn.ɪ.kəl/	1. thuộc thực vật học 2. làm từ thảo mộc	plant-based, herbal	synthetic, artificial	botany (n): thực vật học; botanist (n): nhà thực vật học; botanically (adv): về mặt thực vật	The hotel garden features many botanical species.	botanical garden; botanical research; botanical extract; botanical illustration
renovation	noun	/ˌren.əˈveɪ.ʃən/	1. sự nâng cấp 2. việc sửa chữa công trình	restoration, refurbishment	deterioration, damage	renovate (v): cải tạo; renovated (adj): được sửa mới; renovator (n): người cải tạo	The office will close during the lobby renovation.	under renovation; renovation project; complete a renovation; renovation plan
ideal	adjective/noun	/aɪˈdɪəl/	1. (adj) lý tưởng 2. (n) mẫu hình lý tưởng	perfect, optimal, model	imperfect, flawed, faulty	ideally (adv): một cách lý tưởng; idealism (n): chủ nghĩa lý tưởng; idealist (n): người theo CN lý tưởng; idealistic (adj): mang tính lý tưởng	This venue is ideal for large conferences.	ideal for; an ideal solution; the ideal candidate; ideal conditions
wedding reception	noun phrase	/ˈwed.ɪŋ rɪˈsep.ʃən/	1. tiệc chiêu đãi sau lễ cưới	marriage reception, wedding banquet	funeral, wake	wedding (n): lễ cưới wed (v): kết hôn newlywed (n): người mới cưới reception (n): sự tiếp đón receptionist (n): nhân viên lễ tân	The wedding reception will be held at the Grand Hotel ballroom.	hold/host a wedding reception, attend a wedding reception, wedding reception venue, wedding reception menu
panel presentation	noun phrase	/ˈpæn.əl ˌprez.ənˈteɪ.ʃən/	1. bài thuyết trình nhóm chuyên gia 2. phần trình bày dạng tọa đàm	panel discussion, group presentation	individual presentation, keynote speech	panel (n): nhóm chuyên gia panelist (n): thành viên hội đồng presentation (n): bài thuyết trình presenter (n): người thuyết trình present (v): trình bày	The marketing team gave a panel presentation on digital trends.	give/deliver a panel presentation, attend a panel presentation, panel presentation on sth, expert panel presentation
marble	noun	/ˈmɑːr.bəl/	1. đá cẩm thạch 2. vật bằng đá cẩm thạch	stone, granite	wood, concrete	marble (adj): bằng đá cẩm thạch marbled (adj): có vân cẩm thạch marbleize (v): tạo vân marbleization (n): sự tạo vân	The lobby floor is made of polished marble.	polished marble, marble floor, marble statue, white marble
cathedral	noun	/kəˈθiː.drəl/	1. nhà thờ lớn, thánh đường	church, basilica	mosque, temple	cathedral (adj): thuộc nhà thờ lớn cathedra (n): ngai giám mục	The tour includes a visit to the city's famous cathedral.	Gothic cathedral, visit a cathedral, cathedral tour, cathedral ceiling
ceiling	noun	/ˈsiː.lɪŋ/	1. trần nhà 2. mức trần (giới hạn tối đa)	roof (nghĩa 1), upper limit (nghĩa 2)	floor, base	ceilinged (adj): có trần ceilingless (adj): không có trần	The painter is repairing the ceiling in the conference room.	high ceiling, ceiling fan, ceiling light, ceiling tiles
stunning	adj	/ˈstʌn.ɪŋ/	extremely impressive, attractive, or surprising	impressive, breathtaking, spectacular	ordinary, dull, unimpressive	stun (v): làm choáng stunned (adj): choáng váng stunningly (adv): cực kỳ ấn tượng	- The hotel offers a stunning view of the bay.	stunning view, absolutely stunning, stunning performance, look stunning
artwork	noun	/ˈɑːt.wɜːk/	a work of art or illustrations, especially for display or publication	piece, illustration, masterpiece	scribble, mess	art (n): nghệ thuật artist (n): nghệ sĩ artistic (adj): thuộc nghệ thuật	- The lobby displays original artwork by local painters.	original artwork, display artwork, commission artwork, artwork reproduction
gathering	noun	/ˈɡæð.ər.ɪŋ/	a meeting or assembly of people	forum, meeting, assembly	dispersion, separation	gather (v): thu thập gathered (adj): được tập hợp reassemble (v): tập hợp lại	- The company held a staff gathering after the training.	social gathering, family gathering, staff gathering, small gathering
on - site	adj/adv	/ˌɒnˈsaɪt/	occurring or located at the place of business or event	in-house, local	off-site, remote	site (n): địa điểm off-site (adj): ngoài hiện trường siting (n): việc đặt vị trí	- The technician will provide on-site support tomorrow.	on-site parking, on-site training, on-site inspection, stay on-site
cater	verb	/ˈkeɪ.tər/	to provide food, drink, and services for an event; to supply what is needed	serve, supply, provide	neglect, ignore	caterer (n): người cung cấp thực phẩm catering (n): dịch vụ ăn uống catered (adj): được phục vụ ăn uống	- The hotel can cater lunch for 200 guests.	cater for, cater to, catering service, cater event
operate	verb	/ˈɒp.ə.reɪt/	1. vận hành (máy móc, hệ thống) 2. hoạt động (công ty, dịch vụ) 3. thực hiện phẫu thuật	run, function, manage	shut down, halt	operation (n): sự vận hành operator (n): người vận hành operational (adj): thuộc vận hành operative (n/adj): nhân viên vận hành	Our trains operate on a strict schedule.	operate a machine; operate efficiently; operate 24 hours; operate on a patient
farm - to - table	adjective	/ˌfɑːrm tə ˈteɪ.bəl/	1. (đồ ăn) từ nông trại đến bàn ăn, không qua trung gian 2. nhấn mạnh nguồn gốc địa phương	locally sourced, fresh	mass-produced, processed	farm-to-table (n): mô hình farm-to-table dining	Our café serves farm-to-table breakfast.	farm-to-table restaurant; farm-to-table menu; farm-to-table movement; farm-to-table ingredients
head	noun	/hed/	1. người đứng đầu, lãnh đạo 2. phần trên cùng; đầu	chief, leader, director	subordinate, follower	heading (n): tiêu đề headship (n): chức trưởng headless (adj): không đầu headquarters (n): trụ sở chính	Mr. Kim is the head of marketing.	head of department; department head; head office; head count
dietary	adjective	/ˈdaɪ.ə.ter.i/	1. thuộc chế độ ăn uống 2. liên quan dinh dưỡng	nutritional, alimentary	non-dietary, unrelated	diet (n/v): chế độ ăn dietitian (n): chuyên gia dinh dưỡng dieter (n): người ăn kiêng	Please list any dietary needs on the form.	dietary requirement; dietary guideline; dietary supplement; dietary habit
need	noun	/niːd/	1. nhu cầu, sự cần thiết 2. tình trạng thiếu thốn	necessity, requirement	surplus, abundance	needed (adj): cần thiết needless (adj): không cần thiết needy (adj): nghèo túng	There is a need for more staff during peak season.	meet a need; address the need; basic needs; customer needs
revolution	noun	/ˌrev.əˈluː.ʃən/	1. cuộc cách mạng (chính trị) 2. sự thay đổi lớn, toàn diện 3. vòng quay	upheaval, transformation	stability, stagnation	revolutionary (adj): cách mạng; revolutionize (v): cách mạng hóa; revolutionist (n): nhà cách mạng	The digital revolution changed global trade.	industrial revolution; digital revolution; lead a revolution; technological revolution
scene	noun	/siːn/	1. hiện trường, nơi xảy ra sự việc 2. cảnh trong phim/kịch 3. lĩnh vực hoạt động	setting, site	offstage, backstage	scenic (adj): đẹp như tranh; scenery (n): phong cảnh; scenario (n): kịch bản	Police arrived at the scene within minutes.	at the scene; crime scene; leave the scene; scene of the accident
resident	noun	/ˈrez.ɪ.dənt/	1. cư dân 2. bác sĩ nội trú	inhabitant, occupant	visitor, nonresident	reside (v): cư trú; residence (n): nơi cư trú; residential (adj): thuộc khu dân cư	City residents complained about the noise.	local resident; permanent resident; city resident; resident card
president	noun	/ˈprez.ɪ.dənt/	1. tổng thống 2. chủ tịch, giám đốc 3. chủ tọa cuộc họp	chief, head, chairperson	subordinate, member	presidential (adj): thuộc tổng thống; presidency (n): nhiệm kỳ tổng thống; vice-president (n): phó chủ tịch	The president will announce the new policy.	company president; elected president; vice president; serve as president
in advance	adverb phrase	/ɪn ədˈvɑːns/	trước, sớm hơn dự định	beforehand, ahead of time	afterwards, late	advance (n): sự tiến bộ; advance (v): tiến lên; advanced (adj): tiên tiến; advancement (n): sự thăng tiến	Please confirm your reservation in advance.	pay in advance; book in advance; plan in advance; order in advance
seat	noun	/siːt/	ghế ngồi, chỗ ngồi	chair, place	stand	seating (n): chỗ ngồi; seated (adj): được ngồi	Please take your seat.	reserved seat, window seat, take a seat
reserve	verb	/rɪˈzɜːv/	đặt trước, dự trữ	book, save	release, cancel	reservation (n): sự đặt trước; reserved (adj): đã đặt trước	I would like to reserve a table for two.	reserve a seat, reserve a room, reserve in advance
space	noun	/speɪs/	không gian, chỗ trống	room, area	crowd, blockage	spacious (adj): rộng rãi; spacing (n): khoảng cách	There is not enough space in the car.	parking space, storage space, free space
solely	adverb	/ˈsəʊl.li/	chỉ, duy nhất	only, exclusively	together, jointly	sole (adj): duy nhất	This room is solely for staff.	solely responsible, solely owned, solely by
corporate	adjective	/ˈkɔː.pər.ət/	thuộc về công ty, doanh nghiệp	company, business	individual, personal	corporation (n): tập đoàn; corporate (adj): thuộc về doanh nghiệp	Corporate culture is important in big firms.	corporate office, corporate policy, corporate event
international	adj	/ˌɪn.təˈnæʃ.nəl/	1. thuộc về quốc tế 2. liên quan đến nhiều quốc gia	global, worldwide	domestic, local	internationalize (v): quốc tế hoá; internationalization (n): sự quốc tế hoá; internationally (adv): một cách quốc tế	The company opened an international office in Singapore.	international market, international trade, international conference, international flight
fund	noun/verb	/fʌnd/	1. (n) quỹ tài chính 2. (v) cấp vốn, tài trợ	capital, finance	withdrawal, debt	funding (n): kinh phí; fundraiser (n): người gây quỹ; refundable (adj): có thể hoàn tiền	The project was funded by a government fund.	raise a fund, investment fund, fund manager, fund a project
charity	noun	/ˈtʃær.ə.ti/	1. tổ chức từ thiện 2. việc làm từ thiện	nonprofit, aid organization	greed, self-interest	charitable (adj): từ thiện; charitably (adv): một cách từ thiện; charitableness (n): lòng từ thiện	The company donated $5,000 to a local charity.	charity event, charity organization, give to charity, charity work
