Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
transform	verb	/trænsˈfɔːrm/	1. biến đổi hoàn toàn 2. chuyển đổi	convert, change, revolutionize	preserve, maintain	transformation (n): sự biến đổi; transformative (adj): mang tính biến đổi; transformer (n): bộ biến áp	The new policy could transform the entire company culture.	transform into; transform from; transform the business; digital transformation
shipping industry	noun	/ˈʃɪpɪŋ ˈɪn.də.stri/	ngành công nghiệp vận tải biển	maritime sector, freight industry	aviation industry, air transport sector	ship (v): vận chuyển; ship (n): tàu; shipment (n): lô hàng; shipping (n): vận chuyển; shipper (n): người gửi hàng	The shipping industry faces rising fuel costs this quarter.	global shipping industry; shipping industry regulations; shipping industry growth; shipping industry conference
imagine	verb	/ɪˈmædʒ.ɪn/	1. tưởng tượng 2. hình dung 3. đoán, nghĩ rằng	visualize, envision, picture	doubt, disbelieve, ignore	imagination (n): trí tưởng tượng; imaginative (adj): giàu tưởng tượng; imaginable (adj): có thể tưởng tượng; imaginary (adj): hư cấu	- I can’t imagine the project without your support. - Customers imagine how the room will look with new furniture.	imagine that, imagine doing, can hardly imagine, difficult to imagine
exact	adj	/ɪɡˈzækt/	1. chính xác 2. đúng y 3. tỉ mỉ	precise, accurate, correct	inexact, approximate, inaccurate	exactly (adv): chính xác; exactness (n): sự chính xác; exacting (adj): đòi hỏi cao; exactitude (n): tính chính xác	- We need the exact figures for the report. - The delivery arrived at the exact time.	exact time, exact amount, exact same, exact figures
hardly	adv	/ˈhɑːrd.li/	1. hầu như không 2. chỉ vừa, khó khăn lắm	scarcely, barely, rarely	completely, totally, easily	hard (adj/adv): chăm chỉ; hardness (n): độ cứng; hardship (n): khó khăn	- She can hardly hear the speaker at the back. - I hardly had time to eat lunch.	can hardly, hardly ever, hardly any, hardly anyone
closely	adv	/ˈkloʊs.li/	1. sát sao, kĩ lưỡng 2. chặt chẽ 3. gần gũi	carefully, tightly, intimately	loosely, distantly, casually	close (adj/v): gần; closeness (n): sự gần gũi; closure (n): sự kết thúc; closely (adv)	- The manager is monitoring the budget closely. - We work closely with international partners.	closely monitor, closely related, work closely, follow closely
already	adv	/ɑːlˈred.i/	1. đã, rồi 2. sớm hơn dự kiến	previously, earlier, before	not yet, later, afterward	ready (adj): sẵn sàng; readiness (n): sự sẵn sàng	- The flight has already departed. - I have already sent the invoice.	already done, already finished, have already, already been
handbook	noun	/ˈhænd.bʊk/	1. sổ tay hướng dẫn, cẩm nang	manual, guidebook	novel, fiction	handbook (n); handbooks (pl)	Please refer to the employee handbook for company policies.	employee handbook, user handbook, company handbook, safety handbook
outline	noun	/ˈaʊt.laɪn/	1. bản phác thảo 2. dàn ý tổng quát	summary, draft, overview	detail, expansion	outline (v); outlined (adj); outlining (n)	She presented an outline of the marketing plan.	brief outline, draft outline, outline of, present an outline
expert	noun	/ˈek.spɜːt/	1. chuyên gia 2. người thành thạo	specialist, professional	novice, amateur	expert (adj); expertise (n); expertly (adv)	We hired an IT expert to improve the network.	industry expert, legal expert, financial expert, call in an expert
