Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
entertain	verb	/ˌen.təˈteɪn/	1. chiêu đãi 2. giải trí	amuse, host	bore, neglect	entertainment (n): sự giải trí; entertainer (n): người giải trí; entertaining (adj): thú vị	The hotel often entertains corporate guests.	entertain clients; entertain guests; entertain at a venue; entertain an idea
industry	noun	/ˈɪn.də.stri/	1. ngành công nghiệp 2. lĩnh vực kinh doanh	sector, business	idleness, inactivity	industrial (adj): thuộc công nghiệp; industrialize (v): công nghiệp hóa; industrialization (n): sự công nghiệp hóa	The tourism industry has recovered quickly.	manufacturing industry; service industry; industry leader; industry standard
separate	verb, adjective	/ˈsep.ər.eɪt/ (v), /ˈsep.ər.ət/ (adj)	1. (v) tách rời, chia ra 2. (adj) riêng biệt, tách biệt	divide, split	join, combine	separation (n): sự tách biệt separately (adv): riêng rẽ separable (adj): có thể tách rời separator (n): thiết bị tách	The manager separated the tasks into three lists.	- separate A from B - keep files separate - separate account - separate section
limit	verb, noun	/ˈlɪm.ɪt/	1. (v) giới hạn 2. (n) mức giới hạn, phạm vi	restrict, confine	enlarge, expand	limitation (n): sự hạn chế limited (adj): có giới hạn unlimited (adj): không giới hạn limiter (n): thiết bị hạn chế	Please limit your report to two pages.	- limit to sth - set a limit - within the limit - speed limit
willing	adjective	/ˈwɪl.ɪŋ/	1. sẵn sàng, sẵn lòng	ready, prepared	unwilling, reluctant	willingness (n): sự sẵn lòng willingly (adv): một cách sẵn sàng will (n/v): ý chí	She is willing to work overtime tonight.	- willing to do sth - quite willing - perfectly willing - willing buyer
assort	verb	/əˈsɔːrt/	1. phân loại, sắp xếp theo nhóm	categorize, classify	mix, jumble	assortment (n): sự phân loại assorted (adj): đa dạng assorter (n): máy phân loại	Workers assort the merchandise by size.	- assort products - assort goods - assort by size - assort items
deliver	verb	/dɪˈlɪv.ər/	1. giao hàng 2. trình bày (bài phát biểu) 3. thực hiện (lời hứa)	ship, transport, present, fulfill	collect, withhold, fail	delivery (n); deliverable (n/adj); deliverer (n); delivered (adj)	The courier will deliver the documents before noon.	deliver a package, deliver a speech, deliver results, deliver on a promise
authority	noun	/ɔːˈθɒr.ə.ti/	1. quyền lực, quyền hạn 2. cơ quan có thẩm quyền 3. người có uy tín	power, control, agency	subordination, weakness	authorize (v): cho phép; authorized (adj): được ủy quyền; authorization (n): sự cho phép; authoritative (adj): có thẩm quyền	Only the project manager has the authority to approve expenses.	exercise authority, local authorities, authority to do sth, in authority
drive	verb	/draɪv/	1. lái xe 2. thúc đẩy, làm tăng 3. điều khiển máy	motivate, operate, propel	halt, deter	driver (n): tài xế; driving (n/adj): việc lái xe; driven (adj): có động lực	He drives to the office and drives sales during meetings.	drive a car, drive to work, drive growth, drive sales
prohibit	verb	/prəˈhɪb.ɪt/	1. cấm, ngăn cản	ban, forbid	allow, permit	prohibition (n): sự cấm; prohibitive (adj): quá cao; prohibited (adj): bị cấm	The law prohibits smoking in the office.	prohibit sb from doing sth, strictly prohibit, prohibit by law, prohibit the use of
