Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
brochure	noun	/ˈbroʊ.ʃər/	1. tờ rơi, sách quảng cáo	leaflet, pamphlet	book	brochure (n): tờ gấp; brochured (adj): dạng sách gấp	Please take a brochure at the front desk.	travel brochure; product brochure; full-color brochure; marketing brochure
apply	verb	/əˈplaɪ/	1. nộp đơn 2. áp dụng 3. bôi lên	submit, utilize	withdraw, neglect	application (n): đơn xin; applicant (n): người xin; applicable (adj): có thể áp dụng; applied (adj): ứng dụng	I will apply for the sales position tomorrow.	apply for a job; apply to a company; apply the rules; apply online
understand	verb	/ˌʌn.dəˈstænd/	1. hiểu 2. nhận thức 3. thông cảm	comprehend, grasp	misunderstand, confuse	understanding (n): sự hiểu biết; understandable (adj): có thể hiểu được; understandably (adv): một cách dễ hiểu; misunderstood (adj): bị hiểu sai	- I don't understand the new policy. - Please speak slowly so everyone can understand.	- understand the requirements - understand how/why - easy/difficult to understand - fail/refuse to understand
loan	noun	/loʊn/	1. khoản vay 2. sự cho mượn tạm thời	credit, lending	repayment, payment	loan (v): cho vay; lender (n): người cho vay; borrower (n): người vay; loaner (n): vật cho mượn; loanable (adj): có thể cho vay	- The bank approved his loan yesterday. - She took out a car loan at 5% interest.	- apply for/obtain a loan - repay/pay off a loan - loan agreement/contract - loan amount/interest
term	noun	/tɜːrm/	1. điều khoản 2. kỳ hạn 3. thuật ngữ	condition, period	indefiniteness, vagueness	term (v): gọi tên; terminal (adj/n): cuối; terminology (n): thuật ngữ; midterm (n/adj): giữa kỳ	- Please read the terms of the contract carefully. - The lease term is three years.	- terms and conditions - short/long-term - payment/delivery terms - accept/agree to the terms
supplemental	adj	/ˌsʌp.lɪˈmen.təl/	1. bổ sung 2. thêm vào	additional, extra	primary, principal	supplement (n/v): phần bổ sung/bổ sung; supplementary (adj): phụ trợ; supplementation (n): sự bổ sung	- Employees receive supplemental insurance benefits. - The report includes supplemental data in the appendix.	- supplemental income - supplemental report - supplemental insurance - supplemental material
superfluous	adj	/suːˈpɜːr.flu.əs/	1. thừa thãi 2. không cần thiết	unnecessary, redundant	necessary, essential	superfluously (adv): một cách thừa thãi; superfluity (n): sự dư thừa	- Remove any superfluous details from the presentation. - Extra pages are superfluous and increase printing costs.	- superfluous details - superfluous information - eliminate/remove superfluous - superfluous to requirements
potential	noun/adj	/pəˈten.ʃəl/	1. (n) khả năng tiềm ẩn; 2. (adj) có khả năng phát triển trong tương lai	possibility, capacity, prospect	limitation, impossibility	potentially (adv): có tiềm năng; potent (adj): mạnh; potency (n): hiệu lực	The manager sees great potential in the new market.	potential customer, potential risk, full potential, unlock potential
eco - friendly	adj	/ˌiː.kəʊˈfrend.li/	thân thiện với môi trường, không gây hại	environmentally friendly, green	harmful, polluting	eco-friendliness (n): tính thân thiện môi trường	The hotel uses eco-friendly cleaning products.	eco-friendly product, eco-friendly policy, eco-friendly packaging, eco-friendly material
business	noun	/ˈbɪz.nəs/	1. việc kinh doanh; 2. doanh nghiệp; 3. lĩnh vực thương mại	enterprise, company, trade	leisure, hobby	businessman (n): doanh nhân; businesswoman (n): nữ doanh nhân; businesslike (adj): nghiêm túc	She travels to Tokyo on business every month.	start a business, do business with, business trip, business plan
enjoy	verb	/ɪnˈdʒɔɪ/	1. thưởng thức; 2. tận hưởng; 3. có được (quyền lợi)	like, appreciate, relish	dislike, detest	enjoyment (n): sự thích thú; enjoyable (adj): thú vị; enjoyed (adj): được ưa thích	Passengers enjoy free Wi-Fi on the train.	enjoy doing sth, enjoy a meal, enjoy the view, enjoy benefits
exhibit	verb/noun	/ɪɡˈzɪb.ɪt/	1. (v) trưng bày; 2. (n) vật trưng bày/cuộc triển lãm	display, show, present	conceal, hide	exhibition (n): cuộc triển lãm; exhibitor (n): người trưng bày; exhibited (adj): được trưng bày	The gallery will exhibit modern photographs next week.	exhibit products, exhibit at a trade show, art exhibit, museum exhibit
new	adjective	/njuː/	1. mới 2. chưa từng có trước đây 3. vừa mới bắt đầu	brand-new, fresh, recent	old, existing, outdated	renew (v): đổi mới newness (n): sự mới mẻ newly (adv): mới đây renewal (n): sự gia hạn	The company introduced a new product last week.	new product; new policy; new employee; brand-new model
teach	verb	/tiːtʃ/	1. dạy, giảng dạy 2. huấn luyện, hướng dẫn	instruct, educate	learn, study	teacher (n): giáo viên; teaching (n): sự giảng dạy; taught (v): đã dạy	Mr. Lee teaches accounting to new interns.	teach sb sth, teach a course/class, teach at (institution), teach how to do sth
plant	noun	/plænt/	1. nhà máy, cơ sở sản xuất 2. cây trồng (nghĩa phụ)	factory, facility, mill	closure, shutdown	plant (v): trồng planting (n): việc trồng plantation (n): đồn điền	The company built a new plant in Texas.	manufacturing plant; power plant; plant manager; build a plant
rain garden	noun	/ˈreɪn ˌɡɑːr.dən/	1. vườn mưa (khu cảnh quan thu nước mưa để giảm thoát nước)	bio-retention area, stormwater garden	paved surface, impervious area	garden (n/v): vườn/trồng gardening (n): làm vườn gardener (n): người làm vườn	The city installed a rain garden near the parking lot.	install a rain garden; design a rain garden; rain garden project; maintain a rain garden
rainfall pattern	noun	/ˈreɪn.fɔːl ˈpæt.ən/	1. mô hình phân bố lượng mưa theo thời gian hoặc khu vực	precipitation trend, rain distribution	drought pattern, dry spell	rainfall (n): lượng mưa rainy (adj): có mưa rainless (adj): không mưa pattern (n/v): khuôn mẫu/định hình	Climate change affects the rainfall pattern in the region.	change in rainfall pattern; analyze rainfall patterns; seasonal rainfall pattern; irregular rainfall pattern
region	noun	/ˈriː.dʒən/	1. vùng, khu vực (địa lý hoặc hành chính) 2. lĩnh vực hoạt động	area, zone, district	center, core	regional (adj): thuộc vùng regionally (adv): theo vùng regionalize (v): phân vùng	The company plans to open stores across the Asian region.	in the region, regional office, expand into a region, remote region
build	verb	/bɪld/	1. xây dựng (công trình) 2. phát triển, tạo dựng (quan hệ, thương hiệu)	construct, erect, develop	demolish, destroy	builder (n): thợ xây building (n): toà nhà built (adj): được xây rebuild (v): xây lại	They will build a new warehouse near the port.	build a facility, build a team, build trust, build up
patio furniture	noun	/ˈpæti.oʊ ˈfɜːrnɪtʃər/	đồ nội thất sân vườn, bàn ghế ngoài trời	outdoor furniture, garden furniture	indoor furniture, office furniture	patio (n): sân nhỏ furniture (n): đồ nội thất furnish (v): trang bị furnished (adj): được trang bị	The store offers a discount on patio furniture sets.	set of patio furniture, buy patio furniture, outdoor patio furniture, waterproof patio furniture
easy - to - acquire	adjective	/ˌiːzi tə əˈkwaɪər/	dễ kiếm, dễ có, dễ mua	accessible, readily available	hard-to-get, scarce	acquire (v): đạt được acquisition (n): sự mua lại acquisitive (adj): ham muốn acquirement (n): sự thu được	The course provides easy-to-acquire computer skills.	easy-to-acquire resources, easy-to-acquire funding, easy-to-acquire skills, easy-to-acquire data
material	noun	/məˈtɪə.ri.əl/	1. vật liệu 2. tài liệu (thông tin)	substance, fabric, matter	intangible, immaterial	materialize (v): trở thành hiện thực materialistic (adj): duy vật materially (adv): về vật chất immaterial (adj): phi vật chất	All construction material must meet safety standards.	raw material, building material, training material, material cost
host	noun / verb	/hoʊst/	1. (n) chủ nhà, người tiếp đón 2. (n) người dẫn chương trình 3. (v) đăng cai, tổ chức	sponsor, presenter, organize (v)	guest (n), attend (v)	hostess (n): nữ chủ nhà hosting (n): việc tổ chức hosted (adj): được tổ chức	- The hotel will host the annual seminar. - Our host welcomed every delegate.	host a meeting, host an event, gracious host, conference host
public	noun / adjective	/ˈpʌb.lɪk/	1. (adj) công cộng, công khai 2. (n) công chúng, quần chúng	open, general, communal	private, confidential	publicly (adv): công khai publicity (n): sự quảng bá publicize (v): quảng bá publication (n): ấn phẩm	- The budget was released to the public yesterday. - The park is open for public use.	the public, public transportation, public opinion, public relations
use	noun / verb	/juːs/ (n) /juːz/ (v)	1. (v) sử dụng 2. (n) mục đích, công dụng	apply, utilize, employ	misuse, waste	user (n): người dùng usage (n): cách dùng useful (adj): hữu ích usable (adj): có thể dùng useless (adj): vô dụng	- Please use company vehicles for deliveries. - This glue has many industrial uses.	make use of, use a tool, for personal use, safe use
best of all	phrase	/best əv ɔːl/	1. tốt nhất trong tất cả 2. hay nhất là	most importantly, above all	worst of all, least of all	good (adj): tốt better (adj): tốt hơn best (adj): tốt nhất	- The resort is affordable, and best of all, near the beach.	best of all, and best of all, but best of all
in any event	phrase	/ɪn ˈeni ɪˈvent/	1. trong mọi trường hợp 2. dù có chuyện gì xảy ra	anyway, regardless, at any rate	contingent upon	event (n): sự kiện eventual (adj): cuối cùng eventually (adv): cuối cùng eventful (adj): nhiều sự kiện	- In any event, the report must be submitted today.	in any event, in any event we will, in any event the
as a matter of fact	phrase	/ˌæz ə ˈmæt̬ər əv ˈfækt/	1. thực tế là 2. thật ra (nhấn mạnh điều đúng)	actually, in fact	supposedly, apparently	fact (n): sự thật; factual (adj): dựa trên sự thật; factually (adv): về mặt sự thật	As a matter of fact, the report was completed yesterday.	as a matter of fact + clause, well as a matter of fact, sentence opener
teach	verb	/tiːtʃ/	1. dạy, giảng dạy 2. huấn luyện, hướng dẫn	instruct, educate	learn, study	teacher (n): giáo viên; teaching (n): sự giảng dạy; taught (v): đã dạy	Mr. Lee teaches accounting to new interns.	teach sb sth, teach a course/class, teach at (institution), teach how to do sth
shallow	adjective	/ˈʃæl.oʊ/	1. nông (nước, đất) 2. hời hợt, nông cạn	superficial, surface	deep, profound	shallowness (n): sự nông cạn; shallowly (adv): một cách hời hợt	The water in this area is shallow enough for children.	shallow water, shallow pan, shallow analysis, shallow breathing
sunken	adjective	/ˈsʌŋ.kən/	1. bị chìm, đắm 2. lõm xuống, hóp vào	submerged, immersed	raised, elevated	sink (v): chìm; sank (v2); sunk (v3); sinking (n): sự chìm	Divers photographed the sunken cargo ship.	sunken ship, sunken treasure, sunken eyes, sunken garden
soil	noun	/sɔɪl/	1. đất trồng 2. lớp bề mặt đất	earth, dirt	water, rock	soiled (adj): bẩn; soiling (n): sự làm bẩn; soilless (adj): không đất	The region's rich soil produces high-quality coffee beans.	fertile soil, soil quality, soil erosion, soil sample
mix	verb/noun	/mɪks/	1. (v) trộn, pha lẫn 2. (v) kết hợp 3. (n) hỗn hợp, sự pha trộn	combine, blend	separate, divide	mixture (n): hỗn hợp; mixer (n): máy trộn; mixed (adj): pha lẫn; mixing (n): sự pha trộn	Please mix the ingredients carefully. - The marketing mix boosted sales.	mix with sth, mix thoroughly, marketing mix, mix ingredients
filter	noun/verb	/ˈfɪl.tər/	1. (n) bộ lọc 2. (v) lọc, sàng lọc 3. (v) sàng lọc thông tin	screen, purify, sieve	clog, block	filtration (n): sự lọc; filtrate (n): dịch lọc; filtered (adj): đã lọc; unfiltered (adj): chưa lọc	The air filter removes dust from the office. - HR filters applications by experience.	air filter, water filter, filter out impurities, filter data
